;;;;;;;;
663aea868cf742b9b727021434141e97;Rundgebraad op z’n Baskisch;4;A;A;/nl-be/recepten/receptDetails/Rundgebraad-op-z-n-Baskisch/r/663aea868cf742b9b727021434141e97;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;549.4;1.34;0;1.6;0.76;19.02;25.42
;De Leeuw;491;1;0,400000006;5,900000095;1,399999976;11,89999962;?
;;;;;;;;
7858c17099f14d878cd202897ebc9b40;Jambalaya met kip en chipolata;4;B;A;/nl-be/recepten/receptDetails/Jambalaya-met-kip-en-chipolata/r/7858c17099f14d878cd202897ebc9b40;2;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;698.1;1.08;0;1.5;1.22;6.55;24.58
;De Leeuw;515;0,800000012;0,5;5,400000095;1,299999952;6,300000191;?
;;;;;;;;
e3a2332cc8d9436e87b20293503df90c;Saus voor spaghetti al ragù;6;A;A;/nl-be/recepten/receptDetails/Saus-voor-spaghetti-al-ragu/r/e3a2332cc8d9436e87b20293503df90c;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;394.3;0.77;0;2.8;2.79;5.77;41.09
;De Leeuw;403;0,899999976;0,400000006;4,800000191;2,5;6,5;?
;;;;;;;;
552236e1749d4a49abb2029110a0b482;Mini tarte tatin met kerstomaten;4;B;C;/nl-be/recepten/receptDetails/Mini-tarte-tatin-met-kerstomaten/r/552236e1749d4a49abb2029110a0b482;2;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;969.8;1.85;0;4.9;9.50;3.15;49.63
;De Leeuw;546;1,5;0,200000003;6,699999809;10,10000038;1,600000024;?
;;;;;;;;
a40a3e900a5044ef896502ad3cb9dc01;Cheesecake met kastanjepompoen, speculoos en chocoladesaus;4;;D;/nl-be/recepten/receptDetails/Cheesecake-met-kastanjepompoen-speculoos-en-chocoladesaus/r/a40a3e900a5044ef896502ad3cb9dc01;;4;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;897.4;0.59;0;7.5;15.97;5.64;19.23
;;;;;;;;
;;;;;;;;
d6d2d8543be644ecbfd402cf9a58ed9f;Chicken pie - pastei met kip en champignons;4;A;A;/nl-be/recepten/receptDetails/Chicken-pie-pastei-met-kip-en-champignons/r/d6d2d8543be644ecbfd402cf9a58ed9f;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;439.7;0.68;0;2.7;1.63;7.39;11.39
;De Leeuw;439;1,100000024;0,400000006;5,599999905;1,100000024;7,5;?
;;;;;;;;
1896b35e56ae480c918502b33f20a24d;Carpaccio van zalm en salsa met groene appel;6;A;A;/nl-be/recepten/receptDetails/Carpaccio-van-zalm-en-salsa-met-groene-appel/r/1896b35e56ae480c918502b33f20a24d;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;564.5;1.05;0;1.2;4.22;10.29;50.46
;De Leeuw;536;1,399999976;0,100000001;8,600000381;3,400000095;8,300000191;?
;;;;;;;;
7ae3251e792447849c4002d47cc2f9c8;Groene asperges met gekonfijte citroen;4;B;C;/nl-be/recepten/receptDetails/Groene-asperges-met-gekonfijte-citroen/r/7ae3251e792447849c4002d47cc2f9c8;2;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;87.2;0.49;0;0.5;0.38;0.75;22.53
;De Leeuw;51;0,600000024;0,100000001;0,600000024;0,300000012;0,899999976;?
;;;;;;;;
ea89c682860841aca40502f2630039dd;Pikante tomatensalsa en zelfgemaakte taco's;8;;A;/nl-be/recepten/receptDetails/Pikante-tomatensalsa-en-zelfgemaakte-taco-s/r/ea89c682860841aca40502f2630039dd;;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;485.1;1.50;0;0.8;3.83;2.21;75.86
;;;;;;;;
;;;;;;;;
ef889f3714b8455e9546031e604b3153;Bananenchocolade-ijs;4;A;A;/nl-be/recepten/receptDetails/Bananenchocolade-ijs/r/ef889f3714b8455e9546031e604b3153;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;691.8;2.85;0;1.2;24.51;1.84;95.34
;De Leeuw;454;2;0;1,700000048;13,89999962;1,299999952;?
;;;;;;;;
9a7b4f99aeaa427aa22f03e2f9df29c6;Kalfspicatta met radijzen, emulsie van loof van radijzen;4;;A;/nl-be/recepten/receptDetails/Kalfspicatta-met-radijzen-emulsie-van-loof-van-radijzen/r/9a7b4f99aeaa427aa22f03e2f9df29c6;;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;533.3;0.92;0;2.0;1.86;9.64;23.95
;;;;;;;;
;;;;;;;;
67b543d992474ecfb8060383b7af7379;Groentecouscous;4;A;A;/nl-be/recepten/receptDetails/Groentecouscous/r/67b543d992474ecfb8060383b7af7379;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;740.0;3.71;5;1.8;6.45;5.21;38.96
;De Leeuw;441;2;0,300000012;3,400000095;3,900000095;2,900000095;?
;;;;;;;;
4d4c4468a17e4c1e91c303f7b4613da0;Taart met reine-claudes en plattekaas;8;D;A;/nl-be/recepten/receptDetails/Taart-met-reine-claudes-en-plattekaas/r/4d4c4468a17e4c1e91c303f7b4613da0;4;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;480.3;1.02;0;1.1;0.98;4.14;0.00
;De Leeuw;1154;1,100000024;0,600000024;6,800000191;34,70000076;4,599999905;?
;;;;;;;;
6e6dc48d762e45f5b88603ff384bd11f;Pesto van kale;4;C;C;/nl-be/recepten/receptDetails/Pesto-van-kale/r/6e6dc48d762e45f5b88603ff384bd11f;3;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;2206.5;2.13;0;10.9;0.99;9.37;83.32
;De Leeuw;2495;2;0,300000012;61,09999847;1,799999952;10,30000019;?
;;;;;;;;
35f4a355b52b45879d8f043137cbe43b;Pannenkoeken met appeltjes;2;;C;/nl-be/recepten/receptDetails/Pannenkoeken-met-appeltjes/r/35f4a355b52b45879d8f043137cbe43b;;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;764.5;0.82;0;5.4;7.86;5.24;16.44
;;;;;;;;
;;;;;;;;
61949e252af543cfb9ed0452f05b5f79;Quiche met raketsla en ricotta;3;C;C;/nl-be/recepten/receptDetails/Quiche-met-raketsla-en-ricotta/r/61949e252af543cfb9ed0452f05b5f79;3;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;904.2;0.72;0;7.2;2.03;8.89;22.45
;De Leeuw;875;0,899999976;0,400000006;14;2,099999905;8,199999809;?
;;;;;;;;
5bf2fd09398947579c28043ecf1c1c66;Vegetarische cordon bleu, tarwebolletjes met broccoli en erwten;4;A;A;/nl-be/recepten/receptDetails/Vegetarische-cordon-bleu-tarwebolletjes-met-broccoli-en-erwten/r/5bf2fd09398947579c28043ecf1c1c66;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;771.5;11.05;0;3.0;1.77;11.48;34.81
;De Leeuw;947;7,599999905;0,600000024;9,800000191;1,700000048;9,5;?
;;;;;;;;
33464fa5ddf944fea751046b82574020;Tatin met ratatouille en mozzarella;4;A;A;/nl-be/recepten/receptDetails/Tatin-met-ratatouille-en-mozzarella/r/33464fa5ddf944fea751046b82574020;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;491.1;1.54;1;2.3;3.69;2.46;80.64
;De Leeuw;486;1,5;0,200000003;7,5;2,5;2,799999952;?
;;;;;;;;
11980c8f7f7a4fb5bc56048a40ee260b;Lamingtons krokant van buiten en zacht van binnen;12;E;D;/nl-be/recepten/receptDetails/Lamingtons-krokant-van-buiten-en-zacht-van-binnen/r/11980c8f7f7a4fb5bc56048a40ee260b;5;4;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;1363.5;3.51;0;12.4;14.90;4.24;21.31
;De Leeuw;1889;2,799999952;0,300000012;28,39999962;29,39999962;5,400000095;?
;;;;;;;;
8f7afb40117249f1a08904bfbc6dc090;Lamsnootjes met rode bessengelei;4;C;D;/nl-be/recepten/receptDetails/Lamsnootjes-met-rode-bessengelei/r/8f7afb40117249f1a08904bfbc6dc090;3;4;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;1134.8;1.13;0;4.2;22.90;13.45;6.42
;De Leeuw;1063;1,200000048;0,100000001;15,60000038;14,89999962;11,10000038;?
;;;;;;;;
acdd379f21104472815504c92877af02;Slaatje van linzen;4;;A;/nl-be/recepten/receptDetails/Slaatje-van-linzen/r/acdd379f21104472815504c92877af02;;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;864.2;1.41;0;5.8;0.62;8.64;68.44
;;;;;;;;
;;;;;;;;
257e97ab643f46c4879004e236b1b5ca;Zalmburger met komkommersalade en wasabimayonaise;4;;A;/nl-be/recepten/receptDetails/Zalmburger-met-komkommersalade-en-wasabimayonaise/r/257e97ab643f46c4879004e236b1b5ca;;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;866.8;0.79;0;2.0;2.43;9.37;33.04
;;;;;;;;
;;;;;;;;
39fc74d7d3f8452e8ae1053527d4e035;Roerei met grijze garnalen;4;D;C;/nl-be/recepten/receptDetails/Roerei-met-grijze-garnalen/r/39fc74d7d3f8452e8ae1053527d4e035;4;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;697.8;0.50;0;6.7;0.97;11.51;4.15
;De Leeuw;844;0,699999988;0,5;17;1;10,89999962;?
;;;;;;;;
b11b35ffe2f44ceaba2b0527863604ba;Nage van kreeft met mosselen en saffraan;4;A;B;/nl-be/recepten/receptDetails/Nage-van-kreeft-met-mosselen-en-saffraan/r/b11b35ffe2f44ceaba2b0527863604ba;1;2;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;629.9;0.09;0;4.2;1.72;11.85;4.54
;De Leeuw;415;0,300000012;0,600000024;3,799999952;1,100000024;10,10000038;?
;;;;;;;;
3f8c7c44776f41ee810105380ee5d727;Pasta met kip tikka masala;4;B;A;/nl-be/recepten/receptDetails/Pasta-met-kip-tikka-masala/r/3f8c7c44776f41ee810105380ee5d727;2;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;782.2;1.74;0;0.5;3.38;9.21;28.27
;De Leeuw;377;0,899999976;0,100000001;4,699999809;1,5;5,199999809;?
;;;;;;;;
87c0c9dc60c64c7497ca0548d5f9d84b;Groentetaart met verse geitenkaas;4;A;A;/nl-be/recepten/receptDetails/Groentetaart-met-verse-geitenkaas/r/87c0c9dc60c64c7497ca0548d5f9d84b;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;662.5;1.78;2;2.6;3.87;4.97;67.04
;De Leeuw;405;2,099999905;0,100000001;7,599999905;2,5;2,900000095;?
;;;;;;;;
12023f073e124fe9a3ba05775a2fd2cb;IJstaart met brownies en witte chocolade;4;;D;/nl-be/recepten/receptDetails/IJstaart-met-brownies-en-witte-chocolade/r/12023f073e124fe9a3ba05775a2fd2cb;;4;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;1759.0;0.70;0;53.7;22.80;4.04;0.34
;;;;;;;;
;;;;;;;;
62466d6c31384b4a997e0589a9a35491;Hapjes met Oudendijk Gouda;4;C;A;/nl-be/recepten/receptDetails/Hapjes-met-Oudendijk-Gouda/r/62466d6c31384b4a997e0589a9a35491;3;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;430.2;1.80;0;1.8;4.64;8.44;21.14
;De Leeuw;732;1,600000024;0,600000024;12,89999962;5,900000095;6,400000095;?
;;;;;;;;
ea4f3f571b704d3ab64e05c57c9a2ea2;Mojo Verde;4;C;C;/nl-be/recepten/receptDetails/Mojo-Verde/r/ea4f3f571b704d3ab64e05c57c9a2ea2;3;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;2660.6;0.58;0;16.9;5.25;1.91;90.05
;De Leeuw;2106;2,400000095;0;52,40000153;4,099999905;2,400000095;?
;;;;;;;;
9db223b80e02422bbf2905c3ed05addc;Milkshake met grenadine en rode vruchten;4;B;A;/nl-be/recepten/receptDetails/Milkshake-met-grenadine-en-rode-vruchten/r/9db223b80e02422bbf2905c3ed05addc;2;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;498.0;5.28;0;1.7;14.73;3.94;0.00
;De Leeuw;313;;0,100000001;3,799999952;7;2,599999905;?
;;;;;;;;
c1007bc19a26405698a505dfbcf0152a;Quiche met groene boontjes en spekjes;4;C;B;/nl-be/recepten/receptDetails/Quiche-met-groene-boontjes-en-spekjes/r/c1007bc19a26405698a505dfbcf0152a;3;2;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;561.8;1.16;0;6.0;0.96;5.02;51.13
;De Leeuw;767;1,200000048;0,800000012;11,30000019;2,200000048;8,300000191;?
;;;;;;;;
ad1178f909064e6ba68f05e3ec53bffe;Salade van linzen met artisjokken en grana padano;4;A;A;/nl-be/recepten/receptDetails/Salade-van-linzen-met-artisjokken-en-grana-padano/r/ad1178f909064e6ba68f05e3ec53bffe;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;1146.4;12.12;0;1.0;1.26;21.19;89.96
;De Leeuw;248;1,899999976;0,300000012;1,399999976;0,699999988;3,599999905;?
;;;;;;;;
b47818f74c98488186a405ed87d5eba2;Quiche met groene asperges en krab;4;B;D;/nl-be/recepten/receptDetails/Quiche-met-groene-asperges-en-krab/r/b47818f74c98488186a405ed87d5eba2;2;4;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;920.5;0.80;0;9.2;1.55;7.40;25.15
;De Leeuw;635;0,899999976;0,400000006;9;1,799999952;6,900000095;?
;;;;;;;;
e931f09fd13f438d9eda05fd872bf021;Spaanse tortilla;8;A;A;/nl-be/recepten/receptDetails/Spaanse-tortilla/r/e931f09fd13f438d9eda05fd872bf021;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;443.9;1.13;0;1.2;1.17;5.48;11.84
;De Leeuw;452;1,700000048;0,200000003;4,099999905;0,300000012;4,699999809;?
;;;;;;;;
5cae7ba2b06d40e5b47a0611fbfc846c;Varkensmignonnettes met pruimen;4;;A;/nl-be/recepten/receptDetails/Varkensmignonnettes-met-pruimen/r/5cae7ba2b06d40e5b47a0611fbfc846c;;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;422.7;0.71;0;1.2;6.31;10.44;32.84
;;;;;;;;
;;;;;;;;
87807ffacf4949b8be0e064a5e38c460;Cordon bleu met Marsala;4;D;C;/nl-be/recepten/receptDetails/Cordon-bleu-met-Marsala/r/87807ffacf4949b8be0e064a5e38c460;4;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;983.5;0.01;1;10.7;1.20;18.81;0.66
;De Leeuw;894;0,300000012;0,800000012;14,19999981;2,200000048;17,10000038;?
;;;;;;;;
895ffab5f9ab41b397e20668649f1264;Zalmfilets in groen jasje;4;A;A;/nl-be/recepten/receptDetails/Zalmfilets-in-groen-jasje/r/895ffab5f9ab41b397e20668649f1264;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
